Country,GDP-percap-PPP
Qatar,127660
Luxembourg,104003
Macau,90151
Singapore,87855
Brunei,76884
Kuwait,71887
Norway,69249
Ireland,69231
United Arab Emirates,67871
Switzerland,59561
San Marino,59058
Hong Kong,58322
United States,57436
Saudi Arabia,55158
Netherlands,51049
Bahrain,50704
Sweden,49836
Iceland,49136
Australia,48899
Germany,48111
Taiwan,48095
Austria,48005
Denmark,47985
Oman,46698
Canada,46437
Belgium,45047
United Kingdom,42481
France,42314
Finland,42165
Japan,41275
Malta,39834
Equatorial Guinea,38639
Puerto Rico,38393
South Korea,37740
New Zealand,37294
Italy,36833
Spain,36416
Israel,35179
Cyprus,34970
Czech Republic,33232
Slovenia,32085
Trinidad and Tobago,31870
Slovakia,31339
Lithuania,29972
Estonia,29313
Portugal,28933
Poland,27764
Seychelles,27602
Hungary,27482
Malaysia,27267
Greece,26669
Russia,26490
Saint Kitts and Nevis,25940
Latvia,25710
Antigua and Barbuda,25157
Kazakhstan,25145
Turkey,24912
Bahamas,24555
Chile,24113
Panama,23024
Croatia,22795
Romania,22348
Uruguay,21527
Mauritius,20422
Bulgaria,20327
Argentina,20047
Gabon,19056
Mexico,18938
Lebanon,18525
Iran,18077
Belarus,18000
Iraq,17944
Turkmenistan,17485
Azerbaijan,17439
Barbados,17100
Botswana,17042
Thailand,16888
Montenegro,16643
Costa Rica,16436
Dominican Republic,16049
Maldives,15553
China,15399
Palau,15319
Brazil,15242
Algeria,15026
Macedonia,14597
Serbia,14493
Colombia,14130
Grenada,14116
Suriname,13988
Venezuela,13761
South Africa,13225
Peru,12903
Egypt,12554
Jordan,12278
Mongolia,12275
Sri Lanka,12262
Albania,11840
Saint Lucia,11783
Indonesia,11720
Tunisia,11634
Nauru,11539
Dominica,11375
Namibia,11290
Saint Vincent and the Grenadines,11271
Ecuador,11109
Bosnia and Herzegovina,10958
Kosovo,10235
Georgia,10044
Swaziland,9776
Paraguay,9396
Fiji,968
Jamaica,8976
El Salvador,8909
Libya,8678
Armenia,8621
Morocco,8330
Ukraine,8305
Bhutan,8227
Belize,8220
Guatemala,7899
Guyana,7873
Philippines,7728
Bolivia,7218
Angola,6844
Republic of the Congo,6676
Cape Verde,6662
India,6616
Uzbekistan,6563
Vietnam,6429
Nigeria,5942
Myanmar,5832
Laos,5710
Samoa,5553
Nicaragua,5452
Tonga,5386
Moldova,5328
Honduras,5271
Pakistan,5106
Sudan,4447
Ghana,4412
Mauritania,4328
Timor-Leste,4187
Bangladesh,3891
Zambia,3880
Cambodia,3737
Côte d'Ivoire,3609
Lesotho,3601
Tuvalu,3567
Papua New Guinea,3541
Kyrgyzstan,3521
Djibouti,3370
Kenya,3361
Marshall Islands,3301
Cameroon,3249
Micronesia,3234
Tanzania,3080
São Tomé and Príncipe,3072
Tajikistan,3008
Vanuatu,2631
Senegal,2577
Nepal,2479
Chad,2445
Yemen,2375
Mali,2266
Benin,2119
Uganda,2068
Rwanda,1977
Solomon Islands,1973
Zimbabwe,1970
Ethiopia,1946
Afghanistan,1919
Kiribati,1823
Haiti,1784
Burkina Faso,1782
Guinea-Bissau,1730
Sierra Leone,1672
Gambia,1667
South Sudan,1657
Togo,1550
Comoros,1529
Madagascar,1505
Eritrea,1410
Guinea,1265
Mozambique,1215
Malawi,1134
Niger,1107
Liberia,855
Burundi,814
Democratic Republic of the Congo,773
Central African Republic,652
